               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.048122,            0.016975,            0.015556,             0.62153,             0.82317,             0.65778,             0.42014,            0.042263,            0.010706,            0.011152,            0.008713,            0.008713,            0.008713
                  67,            0.050249,            0.014738,            0.014557,             0.56557,             0.62943,             0.71411,             0.41259,            0.035788,            0.010674,             0.01256,           0.0086932,           0.0086932,           0.0086932
                  68,             0.06393,             0.01483,            0.012948,             0.56557,             0.62943,             0.71411,             0.41259,            0.035788,            0.010674,             0.01256,           0.0086734,           0.0086734,           0.0086734
                  69,             0.07044,            0.014828,            0.020533,             0.32408,                0.95,             0.52631,             0.26916,            0.047623,            0.010197,             0.02777,           0.0086536,           0.0086536,           0.0086536
                  70,            0.056744,            0.015191,            0.013311,             0.32408,                0.95,             0.52631,             0.26916,            0.047623,            0.010197,             0.02777,           0.0086338,           0.0086338,           0.0086338
                  71,            0.057793,            0.015232,            0.013399,             0.55382,             0.88121,             0.68243,              0.4233,            0.038495,           0.0097027,            0.011359,            0.008614,            0.008614,            0.008614
                  72,            0.052205,            0.018637,            0.015343,             0.55382,             0.88121,             0.68243,              0.4233,            0.038495,           0.0097027,            0.011359,           0.0085942,           0.0085942,           0.0085942
                  73,            0.048808,            0.013749,             0.01034,             0.51718,                 0.7,             0.67652,             0.34742,            0.035151,           0.0097429,           0.0075463,           0.0085744,           0.0085744,           0.0085744
                  74,            0.052771,            0.015908,            0.011985,             0.51718,                 0.7,             0.67652,             0.34742,            0.035151,           0.0097429,           0.0075463,           0.0085546,           0.0085546,           0.0085546
                  75,            0.054024,            0.017229,            0.010492,              0.5548,             0.85649,             0.76751,             0.35633,             0.03624,           0.0091896,            0.006129,           0.0085348,           0.0085348,           0.0085348
                  76,            0.052704,            0.014459,           0.0097506,              0.5548,             0.85649,             0.76751,             0.35633,             0.03624,           0.0091896,            0.006129,            0.008515,            0.008515,            0.008515
                  77,            0.057359,            0.016608,            0.011691,             0.52258,                 0.9,             0.69082,             0.22098,            0.039665,           0.0094491,           0.0054922,           0.0084952,           0.0084952,           0.0084952
                  78,            0.063017,            0.013067,             0.02489,             0.52258,                 0.9,             0.69082,             0.22098,            0.039665,           0.0094491,           0.0054922,           0.0084754,           0.0084754,           0.0084754
                  79,            0.048147,            0.013045,            0.013248,             0.63041,                0.85,             0.80416,             0.41776,            0.034583,           0.0093494,           0.0069508,           0.0084556,           0.0084556,           0.0084556
                  80,            0.050345,            0.013859,           0.0086628,             0.63041,                0.85,             0.80416,             0.41776,            0.034583,           0.0093494,           0.0069508,           0.0084358,           0.0084358,           0.0084358
                  81,             0.05201,            0.015614,            0.010296,             0.50239,                 0.8,             0.87741,             0.33214,             0.04036,           0.0093106,           0.0080205,            0.008416,            0.008416,            0.008416
                  82,             0.05669,            0.012559,            0.011643,             0.50239,                 0.8,             0.87741,             0.33214,             0.04036,           0.0093106,           0.0080205,           0.0083962,           0.0083962,           0.0083962
                  83,            0.050359,             0.01227,             0.01457,             0.62475,                 0.8,              0.8754,             0.51039,            0.036139,           0.0087047,           0.0074111,           0.0083764,           0.0083764,           0.0083764
                  84,            0.050802,            0.014887,             0.01977,             0.62475,                 0.8,              0.8754,             0.51039,            0.036139,           0.0087047,           0.0074111,           0.0083566,           0.0083566,           0.0083566
                  85,            0.040616,            0.011513,            0.014336,             0.69888,                0.75,             0.92477,             0.48419,            0.030913,           0.0084262,           0.0065007,           0.0083368,           0.0083368,           0.0083368
                  86,            0.040741,            0.011176,            0.016338,             0.69888,                0.75,             0.92477,             0.48419,            0.030913,           0.0084262,           0.0065007,            0.008317,            0.008317,            0.008317
                  87,            0.051132,            0.014455,           0.0095643,             0.68729,              0.8592,             0.90205,             0.45349,            0.033589,           0.0083685,           0.0062254,           0.0082972,           0.0082972,           0.0082972
                  88,            0.051682,            0.015698,            0.012147,             0.68729,              0.8592,             0.90205,             0.45349,            0.033589,           0.0083685,           0.0062254,           0.0082774,           0.0082774,           0.0082774
                  89,            0.051998,            0.015091,           0.0083169,             0.94832,                 0.9,             0.96532,             0.55541,            0.030707,           0.0081397,           0.0057069,           0.0082576,           0.0082576,           0.0082576
                  90,            0.044955,            0.014672,           0.0087209,             0.94832,                 0.9,             0.96532,             0.55541,            0.030707,           0.0081397,           0.0057069,           0.0082378,           0.0082378,           0.0082378
                  91,            0.046325,            0.014546,           0.0093729,              0.7821,                 0.9,               0.945,             0.59045,            0.026832,           0.0080571,           0.0050698,            0.008218,            0.008218,            0.008218
